age,gender,citizenship,event_location_region,date_of_event,date_of_death,type_of_injury,killed_by,year_of_death
22.0,M,Palestinian,West Bank,2023-03-12,2023-03-12,gunfire,Israeli security forces,2023
18.0,M,Palestinian,West Bank,2023-03-12,2023-03-12,gunfire,Israeli security forces,2023
21.0,M,Palestinian,West Bank,2023-03-10,2023-03-10,gunfire,Israeli civilians,2023
14.0,M,Palestinian,West Bank,2023-03-10,2023-03-10,gunfire,Israeli security forces,2023
32.0,M,Israeli,Israel,2023-03-09,2023-03-20,gunfire,Palestinian civilians,2023
29.0,M,Palestinian,West Bank,2023-03-09,2023-03-09,gunfire,Israeli security forces,2023
23.0,M,Palestinian,Israel,2023-03-09,2023-03-09,gunfire,Israeli security forces,2023
22.0,M,Palestinian,West Bank,2023-03-09,2023-03-09,gunfire,Israeli security forces,2023
25.0,M,Palestinian,West Bank,2023-03-09,2023-03-09,gunfire,Israeli security forces,2023
21.0,M,Palestinian,West Bank,2023-03-07,2023-03-07,gunfire,Israeli security forces,2023
15.0,M,Palestinian,West Bank,2023-03-07,2023-03-09,gunfire,Israeli security forces,2023
26.0,M,Palestinian,West Bank,2023-03-07,2023-03-07,gunfire,Israeli security forces,2023
27.0,M,Palestinian,West Bank,2023-03-07,2023-03-07,gunfire,Israeli security forces,2023
49.0,M,Palestinian,West Bank,2023-03-07,2023-03-07,gunfire,Israeli security forces,2023
31.0,M,Palestinian,West Bank,2023-03-07,2023-03-07,gunfire,Israeli security forces,2023
29.0,M,Palestinian,West Bank,2023-03-07,2023-03-07,gunfire,Israeli security forces,2023
17.0,M,Palestinian,West Bank,2023-03-02,2023-03-02,gunfire,Israeli security forces,2023
21.0,M,Palestinian,West Bank,2023-03-01,2023-03-01,gunfire,Israeli security forces,2023
26.0,M,Israeli,West Bank,2023-02-27,2023-02-27,gunfire,Palestinian civilians,2023
20.0,M,Israeli,West Bank,2023-02-26,2023-02-26,gunfire,Palestinian civilians,2023
22.0,M,Israeli,West Bank,2023-02-26,2023-02-26,gunfire,Palestinian civilians,2023
20.0,M,Palestinian,West Bank,2023-02-23,2023-02-24,gunfire,Israeli security forces,2023
28.0,M,Palestinian,West Bank,2023-02-22,2023-03-28,gunfire,Israeli security forces,2023
23.0,M,Palestinian,West Bank,2023-02-22,2023-02-22,gunfire,Israeli security forces,2023
24.0,M,Palestinian,West Bank,2023-02-22,2023-02-22,gunfire,Israeli security forces,2023
23.0,M,Palestinian,West Bank,2023-02-22,2023-02-22,gunfire,Israeli security forces,2023
25.0,M,Palestinian,West Bank,2023-02-22,2023-02-22,gunfire,Israeli security forces,2023
32.0,M,Palestinian,West Bank,2023-02-22,2023-02-22,gunfire,Israeli security forces,2023
22.0,M,Palestinian,West Bank,2023-02-22,2023-02-22,gunfire,Israeli security forces,2023
16.0,M,Palestinian,West Bank,2023-02-22,2023-02-22,gunfire,Israeli security forces,2023
64.0,M,Palestinian,West Bank,2023-02-22,2023-02-22,gunfire,Israeli security forces,2023
71.0,M,Palestinian,West Bank,2023-02-22,2023-02-22,gunfire,Israeli security forces,2023
23.0,M,Palestinian,West Bank,2023-02-22,2023-02-22,gunfire,Israeli security forces,2023
17.0,M,Palestinian,West Bank,2023-02-14,2023-02-14,gunfire,Israeli security forces,2023
21.0,M,Palestinian,West Bank,2023-02-13,2023-02-13,gunfire,Israeli security forces,2023
29.0,M,Palestinian,West Bank,2023-02-12,2023-02-23,gunfire,Israeli security forces,2023
16.0,M,Palestinian,West Bank,2023-02-12,2023-02-12,gunfire,Israeli security forces,2023
27.0,M,Palestinian,West Bank,2023-02-11,2023-02-11,gunfire,Israeli civilians,2023
6.0,M,Israeli,West Bank,2023-02-10,2023-02-10,hit by a vehicle,Palestinian civilians,2023
8.0,M,Israeli,West Bank,2023-02-10,2023-02-11,hit by a vehicle,Palestinian civilians,2023
20.0,M,Israeli,West Bank,2023-02-10,2023-02-10,hit by a vehicle,Palestinian civilians,2023
31.0,M,Palestinian,West Bank,2023-02-10,2023-02-10,gunfire,Israeli security forces,2023
19.0,M,Palestinian,West Bank,2023-02-09,2023-02-09,gunfire,Israeli security forces,2023
16.0,M,Palestinian,West Bank,2023-02-08,2023-02-20,gunfire,Israeli security forces,2023
16.0,M,Palestinian,West Bank,2023-02-07,2023-02-07,gunfire,Israeli security forces,2023
22.0,M,Palestinian,West Bank,2023-02-06,2023-02-06,gunfire,Israeli security forces,2023
21.0,M,Palestinian,West Bank,2023-02-06,2023-02-06,gunfire,Israeli security forces,2023
27.0,M,Palestinian,West Bank,2023-02-06,2023-02-06,gunfire,Israeli security forces,2023
0.0,M,Palestinian,West Bank,2023-02-06,2023-02-06,gunfire,Israeli security forces,2023
22.0,M,Palestinian,West Bank,2023-02-06,2023-02-06,gunfire,Israeli security forces,2023
25.0,M,Palestinian,West Bank,2023-02-03,2023-02-03,gunfire,Israeli security forces,2023
26.0,M,Palestinian,West Bank,2023-01-30,2023-01-30,gunfire,Israeli security forces,2023
18.0,M,Palestinian,West Bank,2023-01-29,2023-01-29,gunfire,Israeli civilians,2023
21.0,M,Palestinian,West Bank,2023-01-27,2023-01-27,gunfire,Israeli security forces,2023
68.0,M,Israeli,West Bank,2023-01-27,2023-01-27,gunfire,Palestinian civilians,2023
45.0,F,Israeli,West Bank,2023-01-27,2023-01-27,gunfire,Palestinian civilians,2023
48.0,M,Israeli,West Bank,2023-01-27,2023-01-27,gunfire,Palestinian civilians,2023
14.0,M,Israeli,West Bank,2023-01-27,2023-01-27,gunfire,Palestinian civilians,2023
56.0,M,Israeli,West Bank,2023-01-27,2023-01-27,gunfire,Palestinian civilians,2023
24.0,M,Israeli,West Bank,2023-01-27,2023-01-27,gunfire,Palestinian civilians,2023
34.0,M,Palestinian,West Bank,2023-01-26,2023-01-26,gunfire,Israeli security forces,2023
36.0,M,Palestinian,West Bank,2023-01-26,2023-01-26,gunfire,Israeli security forces,2023
24.0,M,Palestinian,West Bank,2023-01-26,2023-01-29,gunfire,Israeli security forces,2023
22.0,M,Palestinian,West Bank,2023-01-26,2023-01-26,gunfire,Israeli security forces,2023
16.0,M,Palestinian,West Bank,2023-01-26,2023-01-26,gunfire,Israeli security forces,2023
60.0,F,Palestinian,West Bank,2023-01-26,2023-01-26,gunfire,Israeli security forces,2023
34.0,M,Palestinian,West Bank,2023-01-26,2023-01-26,gunfire,Israeli security forces,2023
22.0,M,Palestinian,West Bank,2023-01-26,2023-01-26,gunfire,Israeli security forces,2023
25.0,M,Palestinian,West Bank,2023-01-26,2023-01-26,gunfire,Israeli security forces,2023
21.0,M,Palestinian,West Bank,2023-01-26,2023-01-26,gunfire,Israeli security forces,2023
17.0,M,Palestinian,West Bank,2023-01-26,2023-01-26,gunfire,Israeli security forces,2023
18.0,M,Palestinian,West Bank,2023-01-25,2023-01-25,gunfire,Israeli security forces,2023
17.0,M,Palestinian,West Bank,2023-01-25,2023-01-27,gunfire,Israeli security forces,2023
20.0,M,Palestinian,West Bank,2023-01-25,2023-01-25,gunfire,Israeli security forces,2023
14.0,M,Palestinian,West Bank,2023-01-23,2023-01-16,gunfire,Israeli security forces,2023
42.0,M,Palestinian,West Bank,2023-01-21,2023-01-21,gunfire,Israeli civilians,2023
26.0,M,Palestinian,West Bank,2023-01-19,2023-01-19,gunfire,Israeli security forces,2023
57.0,M,Palestinian,West Bank,2023-01-19,2023-01-19,gunfire,Israeli security forces,2023
40.0,M,Palestinian,West Bank,2023-01-17,2023-01-17,gunfire,Israeli security forces,2023
45.0,M,Palestinian,West Bank,2023-01-15,2023-01-15,gunfire,Israeli security forces,2023
22.0,M,Palestinian,West Bank,2023-01-14,2023-01-14,gunfire,Israeli security forces,2023
20.0,M,Palestinian,West Bank,2023-01-14,2023-01-14,gunfire,Israeli security forces,2023
18.0,M,Palestinian,West Bank,2023-01-12,2023-01-12,gunfire,Israeli security forces,2023
26.0,M,Palestinian,West Bank,2023-01-12,2023-01-12,gunfire,Israeli security forces,2023
18.0,M,Palestinian,West Bank,2023-01-11,2023-01-11,gunfire,Israeli civilians,2023
41.0,M,Palestinian,West Bank,2023-01-11,2023-01-12,gunfire,Israeli security forces,2023
21.0,M,Palestinian,West Bank,2023-01-11,2023-01-11,gunfire,Israeli security forces,2023
16.0,M,Palestinian,West Bank,2023-01-05,2023-01-05,gunfire,Israeli security forces,2023
15.0,M,Palestinian,West Bank,2023-01-03,2023-01-03,gunfire,Israeli security forces,2023
21.0,M,Palestinian,West Bank,2023-01-02,2023-01-02,gunfire,Israeli security forces,2023
19.0,M,Palestinian,West Bank,2023-01-01,2023-01-14,gunfire,Israeli security forces,2023
17.0,M,Palestinian,West Bank,2023-01-01,2023-01-02,gunfire,Israeli security forces,2023
23.0,M,Palestinian,West Bank,2022-12-22,2022-12-22,gunfire,Israeli security forces,2022
15.0,F,Palestinian,West Bank,2022-12-11,2022-12-11,gunfire,Israeli security forces,2022
19.0,M,Palestinian,West Bank,2022-12-08,2022-12-08,gunfire,Israeli security forces,2022
26.0,M,Palestinian,West Bank,2022-12-08,2022-12-08,gunfire,Israeli security forces,2022
16.0,M,Palestinian,West Bank,2022-12-08,2022-12-08,gunfire,Israeli security forces,2022
46.0,M,Palestinian,West Bank,2022-12-08,2022-12-08,gunfire,Israeli security forces,2022
32.0,M,Palestinian,West Bank,2022-12-07,2022-12-07,gunfire,Israeli security forces,2022
22.0,M,Palestinian,West Bank,2022-12-05,2022-12-05,gunfire,Israeli security forces,2022
23.0,M,Palestinian,West Bank,2022-12-02,2022-12-02,gunfire,Israeli security forces,2022
34.0,M,Palestinian,West Bank,2022-12-01,2022-12-01,gunfire,Israeli security forces,2022
22.0,M,Palestinian,West Bank,2022-12-01,2022-12-01,gunfire,Israeli security forces,2022
27.0,M,Palestinian,West Bank,2022-11-30,2022-11-30,gunfire,Israeli security forces,2022
45.0,M,Palestinian,West Bank,2022-11-29,2022-11-29,gunfire,Israeli security forces,2022
22.0,M,Palestinian,West Bank,2022-11-29,2022-11-29,gunfire,Israeli security forces,2022
19.0,M,Palestinian,West Bank,2022-11-29,2022-11-29,gunfire,Israeli security forces,2022
21.0,M,Palestinian,West Bank,2022-11-29,2022-11-29,gunfire,Israeli security forces,2022
44.0,M,Palestinian,West Bank,2022-11-28,2022-11-29,gunfire,Israeli security forces,2022
50.0,M,Israeli,Israel,2022-11-23,2022-11-26,explosion,Palestinian civilians,2022
15.0,M,Israeli,Israel,2022-11-23,2022-11-23,explosion,Palestinian civilians,2022
23.0,M,Palestinian,West Bank,2022-11-22,2022-11-23,gunfire,Israeli security forces,2022
16.0,M,Palestinian,West Bank,2022-11-22,2022-11-22,gunfire,Israeli security forces,2022
17.0,M,Palestinian,West Bank,2022-11-21,2022-11-21,gunfire,Israeli security forces,2022
36.0,M,Israeli,West Bank,2022-11-15,2022-11-15,stabbing,Palestinian civilians,2022
18.0,M,Palestinian,West Bank,2022-11-15,2022-11-15,gunfire,Israeli security forces,2022
50.0,M,Israeli,West Bank,2022-11-15,2022-11-15,hit by a vehicle,Palestinian civilians,2022
59.0,M,Israeli,West Bank,2022-11-15,2022-11-15,stabbing,Palestinian civilians,2022
14.0,F,Palestinian,West Bank,2022-11-14,2022-11-14,gunfire,Israeli security forces,2022
29.0,M,Palestinian,West Bank,2022-11-09,2022-11-09,gunfire,Israeli security forces,2022
15.0,M,Palestinian,West Bank,2022-11-09,2022-11-09,gunfire,Israeli security forces,2022
18.0,M,Palestinian,West Bank,2022-11-05,2022-11-05,gunfire,Israeli security forces,2022
28.0,M,Palestinian,West Bank,2022-11-03,2022-11-03,gunfire,Israeli security forces,2022
20.0,M,Palestinian,West Bank,2022-11-03,2022-11-03,gunfire,Israeli security forces,2022
41.0,M,Palestinian,West Bank,2022-11-03,2022-11-03,gunfire,Israeli security forces,2022
14.0,M,Palestinian,West Bank,2022-11-03,2022-11-03,gunfire,Israeli security forces,2022
54.0,M,Palestinian,West Bank,2022-11-02,2022-11-02,gunfire,Israeli security forces,2022
49.0,M,Israeli,West Bank,2022-10-29,2022-10-29,gunfire,Palestinian civilians,2022
34.0,M,Palestinian,West Bank,2022-10-28,2022-10-28,gunfire,Israeli security forces,2022
50.0,M,Palestinian,West Bank,2022-10-28,2022-10-28,gunfire,Israeli security forces,2022
19.0,M,Palestinian,West Bank,2022-10-25,2022-10-25,gunfire,Israeli security forces,2022
31.0,M,Palestinian,West Bank,2022-10-25,2022-10-25,gunfire,Israeli security forces,2022
26.0,M,Palestinian,West Bank,2022-10-25,2022-10-25,gunfire,Israeli security forces,2022
